6,7405.440255521609
5,7398.372250060739
5,7398.372250060739
4,7448.978264445661
5,7398.372250060739
3,7592.5357421242325
5,7398.372250060739
2,10253.156128598344
5,7398.372250060739
1,13637.263494240857
5,7398.372250060739
0,12920.222789115644
6,9005.482980959581
5,8892.39272398305
5,8892.39272398305
4,8833.122328897169
4,8833.122328897169
3,8895.532020363855
4,8833.122328897169
2,10266.576534115962
4,8833.122328897169
1,13273.626914367926
4,8833.122328897169
0,12898.918119984235
6,5233.391044850561
5,5240.751926393261
6,5233.391044850561
4,5226.73218613352
4,5226.73218613352
3,5258.842945026336
4,5226.73218613352
2,5775.832660217275
4,5226.73218613352
1,7693.805739271013
4,5226.73218613352
0,13074.261479591834
6,9200.048982291331
5,9516.358294460642
6,9200.048982291331
4,9533.432580174927
6,9200.048982291331
3,9524.338799805639
6,9200.048982291331
2,10541.974246841597
6,9200.048982291331
1,13558.057251966642
6,9200.048982291331
0,13178.774412624682
6,4661.829772882699
5,4661.829772882699
5,4661.829772882699
4,4661.829772882699
4,4661.829772882699
3,4625.885792557611
3,4625.885792557611
2,6214.943443066771
3,4625.885792557611
1,13318.983980673122
3,4625.885792557611
0,12958.088010204083
6,7842.211220669406
5,7869.507672186521
6,7842.211220669406
4,7866.34552706591
6,7842.211220669406
3,7850.667493615091
6,7842.211220669406
2,10674.099187977661
6,7842.211220669406
1,13223.216101190474
6,7842.211220669406
0,13023.151715294918
6,4175.121673318566
5,4174.4020965989885
5,4174.4020965989885
4,4193.753452874587
5,4174.4020965989885
3,4249.233852040817
5,4174.4020965989885
2,6084.659675761949
5,4174.4020965989885
1,10680.91601190476
5,4174.4020965989885
0,12897.0731292517
6,5444.437820329923
5,5475.756580012958
6,5444.437820329923
4,5464.411676954733
6,5444.437820329923
3,5466.442410282954
6,5444.437820329923
2,5945.164611273082
6,5444.437820329923
1,13542.44539434524
6,5444.437820329923
0,12914.388663086078
6,5284.315235874271
5,5284.488530954076
6,5284.315235874271
4,5327.65229740753
6,5284.315235874271
3,5529.155799528303
6,5284.315235874271
2,5498.016796327572
6,5284.315235874271
1,8312.504985045423
6,5284.315235874271
0,13025.421343537417
6,4481.331509783735
5,4811.196837164687
6,4481.331509783735
4,5000.3947459088995
6,4481.331509783735
3,4981.072524274166
6,4481.331509783735
2,6107.485542871328
6,4481.331509783735
1,13872.590818037317
6,4481.331509783735
0,12963.423978184683
6,7405.440255521609
5,7398.372250060739
5,7398.372250060739
4,7448.978264445661
5,7398.372250060739
3,7592.5357421242325
5,7398.372250060739
2,10253.156128598344
5,7398.372250060739
1,13637.263494240857
5,7398.372250060739
0,12920.222789115644
6,7405.440255521609
5,7398.372250060739
5,7398.372250060739
4,7448.978264445661
5,7398.372250060739
3,7592.5357421242325
5,7398.372250060739
2,10253.156128598344
5,7398.372250060739
1,13637.263494240857
5,7398.372250060739
0,12920.222789115644
6,7405.440255521609
5,7398.372250060739
5,7398.372250060739
4,7448.978264445661
5,7398.372250060739
3,7592.5357421242325
5,7398.372250060739
2,10253.156128598344
5,7398.372250060739
1,13637.263494240857
5,7398.372250060739
0,12920.222789115644
6,7405.440255521609
5,7398.372250060739
5,7398.372250060739
4,7448.978264445661
5,7398.372250060739
3,7592.5357421242325
5,7398.372250060739
2,10253.156128598344
5,7398.372250060739
1,13637.263494240857
5,7398.372250060739
0,12920.222789115644
6,7405.440255521609
5,7398.372250060739
5,7398.372250060739
4,7448.978264445661
5,7398.372250060739
3,7592.5357421242325
5,7398.372250060739
2,10253.156128598344
5,7398.372250060739
1,13637.263494240857
5,7398.372250060739
0,12920.222789115644
