h1,h2,classerr
1,1,0.30115765814423456
1,5,0.30115765814423456
1,10,0.30115765814423456
1,25,0.30115765814423456
1,50,0.30115765814423456
5,1,0.30115765814423456
5,5,0.30115765814423456
5,10,0.30115765814423456
5,25,0.30115765814423456
5,50,0.30115765814423456
10,1,0.30115765814423456
10,5,0.30115765814423456
10,10,0.30115765814423456
10,25,0.30115765814423456
10,50,0.30115765814423456
25,1,0.30115765814423456
25,5,0.30115765814423456
25,10,0.30115765814423456
25,25,0.30115765814423456
25,50,0.30115765814423456
50,1,0.30115765814423456
50,5,0.30115765814423456
50,10,0.7282200892602226
50,25,0.7282200892602226
50,50,0.6785818837609462
