k,error
1,0.06321839080459771
2,0.07471264367816093
3,0.08045977011494253
4,0.09540229885057472
5,0.08620689655172414
6,0.08045977011494253
7,0.08045977011494253
8,0.08275862068965517
9,0.08045977011494253
10,0.08735632183908046
11,0.08045977011494253
12,0.08735632183908046
13,0.08045977011494253
14,0.08045977011494253
15,0.08620689655172414
20,0.08620689655172414
30,0.0896551724137931
40,0.09195402298850575
50,0.10689655172413795
