k,error
1,0.05357142857142857
2,0.048571428571428564
3,0.04642857142857143
4,0.04714285714285714
5,0.04285714285714286
6,0.045
7,0.04642857142857143
8,0.05
9,0.06071428571428571
10,0.0607142857142857
11,0.06428571428571428
12,0.05928571428571429
13,0.06071428571428571
14,0.0657142857142857
15,0.06428571428571428
20,0.07357142857142855
30,0.07857142857142856
40,0.07857142857142856
50,0.07857142857142856
