k,error
1,0.2601156069364162
2,0.23815028901734103
3,0.17167630057803468
4,0.17572254335260112
5,0.16647398843930636
6,0.17658959537572255
7,0.17341040462427743
8,0.17485549132947975
9,0.16300578034682084
10,0.16329479768786126
11,0.16387283236994218
12,0.16820809248554913
13,0.17138728323699423
14,0.17109826589595376
15,0.1783236994219653
20,0.18236994219653177
30,0.1939306358381503
40,0.21300578034682083
50,0.22601156069364162
